cluster,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,anticipation,joy,surprise,trust,anger,disgust,fear,sadness,positive
Alternative_cluster_1,0.322430473245498,0.7893530838397628,0.9214184226258151,0.15119130661006583,0.13402633299431477,0.08208235835047684,0.282860198019802,0.3693799420992836,1.0,0.3300787957883995,0.18732988836732284,0.27736264633543756,0.3011860787884553,0.20295451436748355,0.2265627561133664,0.34198705998258516,0.29690036352955784,0.19897620295179236
Alternative_cluster_2,0.4907161708023417,0.4001365518571911,0.5320899922123734,0.03430766393536422,0.5713385627359758,0.19792034801306793,0.1256,0.14683527132938315,0.48477989458767806,0.053600925008259,0.001992031872509969,0.0,0.040687579580970024,0.03414413350651395,0.03976842901070477,0.06088276127613472,0.02049843767646726,0.0
Blues_cluster_1,0.4625191263071864,0.3605973870125872,0.46702691497790927,0.0792358544938321,0.6388529811013276,0.05589387504357146,0.3377225806451613,0.5104768262816102,0.4314324140228571,0.08150036765881263,0.07325536563423726,0.10610037871219186,0.047321038501319974,0.11263469427399357,0.0897815462197673,0.20034438211599037,0.11266014372809784,0.047247942223604296
Blues_cluster_2,0.8468978545047717,0.6134751825694708,0.752405792917735,0.08028809909197676,0.32818663855281094,0.0,0.0,0.8832572540237981,0.35969880513155683,1.0,0.6638898949655921,0.6545771860411013,0.7867598312094203,0.26422567867838853,0.3921552904039211,0.4672406003163361,0.4726499265896172,0.6194087242680593
Country_cluster_1,0.5058692944047151,0.496461965114576,0.6612866185992075,0.020998276246282983,0.45413835354865756,0.018815589298814814,0.2587866206896552,0.39490542792813377,0.5255007609656346,0.14476009022248046,0.08150157988734716,0.11383385775530763,0.12116328917379489,0.07477738282824581,0.07266298173806297,0.11080400126561364,0.0951453084209693,0.0747630709532112
Country_cluster_2,0.5633815207902144,0.6873300596531732,0.8482180091226028,0.07058531174966921,0.28462360261733044,0.0058537284228465875,0.21342646153846156,0.6132235402433415,0.671727065631362,0.5821186246855228,0.4124425375421391,0.6136310360586269,0.5789873590544965,0.2726704633187099,0.2551310648023749,0.38953063856348513,0.4218972409086477,0.39311430257721813
Dance_cluster_1,0.5897762903324857,0.9734202618960976,0.9939310870149469,0.8780065895059496,0.017050379844162168,0.07945559905965507,0.60507,0.11570661541804386,0.9683555219904574,0.24358894945490592,0.29432270916334663,0.7312704024885384,0.5678666512327816,0.5905065533120794,0.9910348719261283,0.3196344966997073,0.3478522757218688,0.2063741884713752
Dance_cluster_2,0.7285569108904818,0.8469452812862284,0.9348951458171848,0.07491092229757441,0.11777360442882251,0.18670770075406068,0.2999207547169811,0.4122075611155436,0.8269977317749941,0.20538736279148045,0.17296850334511016,0.18113681859975012,0.2159906697796522,0.07602644049218349,0.07033754198063741,0.13374822639305586,0.10464477827365201,0.18987078645429273
Disco_cluster_1,0.6756509383888272,0.45595309514984844,0.3858763801335206,0.03881165385794504,0.3699105522257056,0.05475913971932575,0.3062874193548387,0.5831649712644279,0.42442938628108634,0.2909000447584642,0.3349505204986506,0.27982085043537464,0.3227904962118524,0.06290493983750985,0.0389207490580088,0.1082510225189984,0.07920184880011365,0.2827959104668948
Disco_cluster_2,0.9255377332021426,0.5009655742753886,0.34364086618674844,0.0802880990919767,0.23565606643070458,0.0034293855377145535,0.5093018181818182,1.0,0.381959869128291,0.45887016848364726,0.45852951829047445,0.5285061453055883,0.286432562691389,1.0,0.8237238661222741,0.9141754160479614,1.0,0.39792177132330586
Electronic_cluster_1,0.9688906539024164,0.7715030396613041,0.820576681822998,0.29579279450595636,0.14889934077154113,0.06858242353423666,0.34834816901408455,0.5780565065386123,0.5620717536070239,0.8359901729504879,0.7603950395600696,1.0,0.8806669394768891,0.4327481003627147,0.471879634356791,0.5673619504379797,0.6372800671059449,0.742195055044016
Electronic_cluster_2,0.7229814122640899,0.7254072770556766,0.8805236945213165,0.1526353312705377,0.16428816132444682,0.12773136639115076,0.2324571428571429,0.16837967689648592,0.6646267183700818,0.12104296624497174,0.08878770631758681,0.0968276013417475,0.08238056653382504,0.09518749051161379,0.09484198183653388,0.16403917792644274,0.1182579420353768,0.06866354647308462
Folk_cluster_1,0.4763124983750097,0.3705710563005743,0.4000980948175332,0.10622753591147535,0.6407068392638389,0.051179034095376816,0.35504368421052634,0.5981237610517942,0.5062985034338686,0.32806061238328726,0.21702663032082195,0.2623193075420971,0.29289655438515266,0.19200054688616688,0.19137659693312112,0.27299109176151065,0.26868464312911183,0.23215672468600188
Folk_cluster_2,0.29137569746121605,0.0,0.0,0.0,1.0,0.14629988545983516,0.11378497109826591,0.0,0.4587384081132643,0.1050093952118792,0.058068304815420406,0.055047444924878286,0.10027158731040241,0.035372118784796236,0.026531347517123473,0.07168901149830416,0.04562628838105245,0.05483880872317222
Funk_cluster_1,0.2928994103204561,0.2765441384703179,0.19382518630494316,0.0678483875001446,0.6415859522314316,0.07809201500470372,0.22096588235294123,0.10108505118364604,0.0,0.1497405701626538,0.2618936020623389,0.1051793663652626,0.14207662923949535,0.06340772228126106,0.1441781207243219,0.07572293433719254,0.08654895907841735,0.20783233616090546
Funk_cluster_2,0.9999880538013003,0.5898416075841395,0.44689558747274466,0.2636138043148727,0.22218977984131588,0.08373568505448714,0.3001333333333334,0.9804697285866881,0.5768095011673776,0.4309272106596191,0.47463479415670656,0.41582042494446303,0.4802388822437439,0.1649545400873775,0.14159996485535936,0.22796929857650464,0.2685364353925887,0.45627910026887014
Hip Hop_cluster_1,0.9959562771326694,0.6974513543130033,0.8445672041636161,1.0,0.18805142085520796,0.00341324710874935,0.39938791171477084,0.5147156190736338,0.27851379386173913,0.8642935145658514,0.5050561759752163,0.9251411932155282,1.0,0.9868314301574442,1.0,1.0,0.9040257114984417,0.7089803322570291
Hip Hop_cluster_2,1.0,0.5994796069936147,0.7237135458473881,0.7450017147093787,0.2226785417490366,0.04035690785990647,0.3121645901639345,0.4862630675123085,0.42975942604982864,0.3171003319848143,0.16955130298478224,0.2899126820556829,0.34299030680328607,0.3611674077171194,0.37160847468342667,0.378843397906604,0.32175732065508494,0.26985161080167586
