Artist(s) Genres,Hot100 Ranking Year,Hot100 Rank
"['folk rock', 'rock-and-roll', 'adult standards', 'rockabilly', 'mellow gold', 'sunshine pop']",1960,91
['rockabilly'],1960,92
"['deep adult standards', 'rock-and-roll']",1960,93
['deep adult standards'],1960,94
"['classic soul', 'chicago soul', 'soul', 'rock-and-roll']",1960,95
"['doo-wop', 'rock-and-roll', 'adult standards', 'rockabilly', 'bubblegum pop']",1960,96
['motown'],1960,97
[],1960,98
"['nashville sound', 'arkansas country', 'country']",1960,99
['instrumental worship'],1960,100
"['doo-wop', 'rhythm and blues']",1961,1
"['country gospel', 'nashville sound']",1961,2
[],1961,3
"['folk rock', 'singer-songwriter', 'rock-and-roll', 'adult standards', 'classic rock', 'mellow gold', 'rockabilly']",1961,4
"['rockabilly', 'doo-wop', 'rock-and-roll']",1961,5
"['doo-wop', 'rhythm and blues']",1961,6
"['rockabilly', 'rock-and-roll']",1961,7
[],1961,8
"['chicago soul', 'doo-wop', 'rhythm and blues']",1961,9
[],1961,10
"['easy listening', 'polka']",1961,11
"['doo-wop', 'rock-and-roll', 'adult standards', 'rockabilly', 'brill building pop']",1961,12
"['folk rock', 'singer-songwriter', 'rock-and-roll', 'adult standards', 'classic rock', 'mellow gold', 'rockabilly']",1961,13
"['doo-wop', 'rock-and-roll', 'classic girl group', 'motown', 'soul']",1961,14
"['instrumental soul', 'memphis soul', 'southern soul']",1961,15
"['doo-wop', 'rock-and-roll', 'classic girl group', 'motown', 'soul']",1961,16
['easy listening'],1961,17
"['rock-and-roll', 'adult standards', 'rockabilly', 'easy listening', 'brill building pop']",1961,18
"['classic soul', 'piano blues', 'vocal jazz', 'jazz blues', 'soul blues', 'soul']",1961,19
['deep adult standards'],1961,20
"['louisiana blues', 'new orleans soul', 'new orleans funk', 'rhythm and blues', 'new orleans blues']",1961,21
"['doo-wop', 'rhythm and blues']",1961,22
"['rock-and-roll', 'rockabilly', 'doo-wop', 'adult standards']",1961,23
"['classic soul', 'quiet storm', 'motown', 'rhythm and blues', 'soul']",1961,24
"['southern soul', 'rhythm and blues']",1961,25
['deep adult standards'],1961,26
"['doo-wop', 'rhythm and blues']",1961,27
['karaoke'],1961,28
"['easy listening', 'honky-tonk piano', 'nashville sound']",1961,29
"['easy listening', 'adult standards']",1961,30
"['doo-wop', 'rhythm and blues']",1961,31
"['doo-wop', 'brill building pop']",1961,32
"['soft rock', 'adult standards', 'rockabilly', 'bubblegum pop', 'easy listening', 'brill building pop']",1961,33
"['louisiana blues', 'rhythm and blues', 'new orleans soul', 'new orleans blues']",1961,34
['dansktop'],1961,35
['brill building pop'],1961,36
"['doo-wop', 'nashville sound', 'merseybeat', 'rock-and-roll']",1961,37
['nashville sound'],1961,38
"['rockabilly', 'rock-and-roll']",1961,39
"['doo-wop', 'rock-and-roll']",1961,40
[],1961,41
['deep adult standards'],1961,42
"['doo-wop', 'rock-and-roll', 'louisiana blues', 'rhythm and blues', 'new orleans blues']",1961,43
[],1961,44
"['honky tonk', 'traditional country', 'western swing', 'classic country pop']",1961,45
"['rockabilly', 'doo-wop', 'rock-and-roll']",1961,46
"['jazz vibraphone', 'exotica', 'easy listening', 'lounge']",1961,47
['northern soul'],1961,48
"['rock-and-roll', 'rockabilly', 'doo-wop', 'adult standards']",1961,49
['doo-wop'],1961,50
"['rockabilly', 'rock-and-roll']",1961,51
"['classic girl group', 'brill building pop']",1961,52
"['new orleans soul', 'new orleans funk']",1961,53
"['doo-wop', 'rhythm and blues']",1961,54
[],1961,55
['deep adult standards'],1961,56
"['folk rock', 'rock-and-roll', 'adult standards', 'rockabilly', 'mellow gold', 'sunshine pop']",1961,57
"['easy listening', 'vocal harmony group', 'adult standards']",1961,58
"['rock-and-roll', 'easy listening', 'rockabilly', 'adult standards']",1961,59
"['classic soul', 'piano blues', 'vocal jazz', 'jazz blues', 'soul blues', 'soul']",1961,60
[],1961,61
"['memphis soul', 'southern soul', 'soul']",1961,62
"['soul', 'rock-and-roll']",1961,63
"['soul', 'rock-and-roll']",1961,64
"['disco', 'classic soul', 'rock-and-roll', 'southern soul', 'soul']",1961,65
[],1961,66
[],1961,67
"['rockabilly', 'doo-wop', 'rock-and-roll']",1961,68
[],1961,69
"['rockabilly', 'rock-and-roll']",1961,70
"['rockabilly', 'rock-and-roll']",1961,71
"['easy listening', 'ballroom']",1961,72
['bubblegum pop'],1961,73
['karaoke'],1961,74
"['doo-wop', 'rhythm and blues']",1961,75
['souldies'],1961,76
"['doo-wop', 'rhythm and blues']",1961,77
"['southern soul', 'rhythm and blues']",1961,78
"['music hall', 'skiffle']",1961,79
"['rock-and-roll', 'adult standards', 'rockabilly', 'easy listening', 'brill building pop']",1961,80
"['doo-wop', 'rock-and-roll', 'classic girl group', 'motown', 'soul']",1961,81
"['rock-and-roll', 'piano blues', 'louisiana blues', 'rockabilly', 'new orleans blues']",1961,82
[],1961,83
"['easy listening', 'adult standards']",1961,84
"['canadian pop', 'easy listening', 'adult standards']",1961,85
"['easy listening', 'honky-tonk piano', 'nashville sound']",1961,86
"['nashville sound', 'classic country pop']",1961,87
"['doo-wop', 'rock-and-roll', 'adult standards', 'rockabilly', 'bubblegum pop']",1961,88
"['doo-wop', 'rock-and-roll', 'adult standards', 'rockabilly', 'brill building pop']",1961,89
"['deep adult standards', 'rock-and-roll']",1961,90
"['easy listening', 'lounge', 'rockabilly', 'adult standards']",1961,91
[],1961,92
"['easy listening', 'lounge', 'rockabilly', 'adult standards']",1961,93
"['rockabilly', 'rock-and-roll']",1961,94
"['jazz', 'bebop', 'jazz quartet']",1961,95
"['rockabilly', 'rock-and-roll']",1961,96
['nashville sound'],1961,97
"['vocal harmony group', 'doo-wop']",1961,98
"['lounge', 'rock-and-roll', 'adult standards', 'vocal jazz', 'easy listening']",1961,99
"['doo-wop', 'rock-and-roll', 'adult standards', 'rockabilly', 'soul']",1961,100
"['jazz clarinet', 'easy listening']",1962,1
"['classic soul', 'piano blues', 'vocal jazz', 'jazz blues', 'soul blues', 'soul']",1962,2
"['classic soul', 'doo-wop', 'philly soul', 'classic girl group', 'motown', 'rhythm and blues', 'southern soul']",1962,3
"['doo-wop', 'rock-and-roll', 'adult standards', 'rockabilly', 'bubblegum pop', 'easy listening']",1962,4
"['easy listening', 'space age pop']",1962,5
"['doo-wop', 'brill building pop']",1962,6
"['doo-wop', 'brill building pop', 'rock-and-roll']",1962,7
"['early reggae', 'classic girl group', 'rocksteady', 'northern soul']",1962,8
"['rockabilly', 'rock-and-roll']",1962,9
"['doo-wop', 'rock-and-roll', 'classic girl group', 'motown', 'soul']",1962,10
['rock-and-roll'],1962,11
"['rockabilly', 'doo-wop', 'rock-and-roll']",1962,12
