Artist(s) Genres,Hot100 Ranking Year,Hot100 Rank
"['beatlesque', 'classic uk pop', 'rock', 'classic rock']",1971,22
"['soul', 'funk', 'quiet storm', 'norwegian pop', 'vapor twitch']",1971,23
"['classic canadian rock', 'canadian psychedelic']",1971,24
"['british invasion', 'adult standards']",1971,25
[],1971,26
"['new wave pop', 'broadway', 'west end']",1971,27
"['country', 'classic country pop', 'country rock']",1971,28
"['country rock', 'psychedelic rock', 'sunshine pop', 'folk rock', 'soft rock', 'bubblegum pop', 'classic garage rock']",1971,29
['surf music'],1971,30
"['rock', 'folk rock', 'beatlesque', 'album rock', 'soft rock', 'mellow gold', 'singer-songwriter', 'classic rock']",1971,31
"['movie tunes', 'bubblegum pop']",1971,32
[],1971,33
['novelty'],1971,34
['musica para ninos'],1971,35
"['canadian country', 'heartland rock', 'country rock', 'canadian singer-songwriter', 'folk', 'folk rock', 'soft rock', 'mellow gold', 'singer-songwriter', 'classic rock']",1971,36
"['classic country pop', 'nashville sound', 'classic oklahoma country', 'outlaw country']",1971,37
['musica para ninos'],1971,38
"['pop', 'dance pop']",1971,39
"['motown', 'soul']",1971,40
"['classic country pop', 'nashville sound']",1971,41
"['bubblegum pop', 'soft rock']",1971,42
"['beatlesque', 'rock drums', 'classic rock']",1971,43
"['country rock', 'heartland rock']",1971,44
"['souldies', 'classic soul']",1971,45
"['soul', 'funk', 'motown', 'classic soul', 'southern soul', 'quiet storm', 'memphis soul', 'disco']",1971,46
"['heartland rock', 'folk rock', 'folk', 'soft rock', 'mellow gold', 'singer-songwriter', 'classic rock']",1971,47
"['motown', 'soul']",1971,48
"['soul', 'vocal jazz', 'classic soul', 'southern soul', 'memphis soul', 'jazz blues']",1971,49
"['mellow gold', 'bubblegum pop', 'soft rock', 'adult standards']",1971,50
"['bubblegum pop', 'adult standards']",1971,51
"['soul', 'vocal jazz', 'classic soul', 'southern soul', 'memphis soul', 'jazz blues']",1971,52
"['bubblegum pop', 'adult standards']",1971,53
"['rock-and-roll', 'country rock', 'psychedelic rock', 'folk rock', 'mellow gold', 'bubblegum pop', 'classic garage rock', 'classic rock']",1971,54
"['rock-and-roll', 'soul', 'classic soul', 'southern soul', 'disco']",1971,55
"['rock', 'yacht rock', 'album rock', 'soft rock', 'mellow gold', 'classic rock']",1971,56
['classic canadian rock'],1971,57
['karaoke'],1971,58
['soft rock'],1971,59
"['beatlesque', 'classic uk pop', 'rock', 'classic rock']",1971,60
"['singer-songwriter', 'soft rock', 'folk rock', 'mellow gold']",1971,61
"['soul', 'motown', 'classic soul', 'quiet storm', 'northern soul', 'neo soul']",1971,62
['country rock'],1971,63
"['garage rock', 'scottish rock', 'modern rock']",1971,64
"['motown', 'beach music']",1971,65
"['british blues', 'blues rock', 'country rock', 'psychedelic rock', 'psychedelic soul', 'southern rock', 'classic rock']",1971,66
"['swamp rock', 'country rock', 'british blues', 'southern rock']",1971,67
['karaoke'],1971,68
"['heartland rock', 'country rock', 'hard rock', 'folk rock', 'album rock', 'soft rock', 'mellow gold', 'classic rock']",1971,69
[],1971,70
"['nederpop', 'classic uk pop']",1971,71
"['easy listening', 'adult standards']",1971,72
"['folk rock', 'folk', 'british folk', 'mellow gold', 'singer-songwriter', 'classic rock']",1971,73
"['country', 'classic country pop', 'country rock']",1971,74
"['bahamian pop', 'rare groove']",1971,75
"['australian dance', 'soft rock', 'mellow gold', 'adult standards', 'disco']",1971,76
['southern soul'],1971,77
"['rock-and-roll', 'easy listening', 'merseybeat', 'adult standards', 'bubblegum pop']",1971,78
"['british folk', 'classic uk pop']",1971,79
"['american folk revival', 'folk rock', 'folk', 'mellow gold', 'singer-songwriter']",1971,80
"['pub rock', 'british blues', 'rockabilly', 'power pop']",1971,81
"['soft rock', 'disco']",1971,82
['british invasion'],1971,83
"['rock', 'hard rock', 'british invasion', 'album rock', 'classic rock']",1971,84
"['southern soul', 'soul blues']",1971,85
"['motown', 'soul']",1971,86
[],1971,87
['bubblegum pop'],1971,88
"['soul', 'funk', 'classic soul', 'southern soul', 'quiet storm', 'memphis soul', 'disco']",1971,89
"['soul', 'funk', 'motown', 'classic soul', 'quiet storm', 'disco']",1971,90
"['heartland rock', 'folk rock', 'yacht rock', 'soft rock', 'mellow gold', 'singer-songwriter', 'brill building pop', 'adult standards']",1971,91
['jesus movement'],1971,92
"['soul', 'southern soul', 'classic soul', 'memphis soul']",1971,93
"['acid rock', 'psychedelic rock', 'hard rock', 'rock', 'album rock', 'classic rock']",1971,94
"['american folk revival', 'singer-songwriter', 'folk rock', 'folk']",1971,95
[],1971,96
"['philly soul', 'souldies', 'classic soul']",1971,97
"['motown', 'sunshine pop', 'folk rock', 'soft rock', 'mellow gold', 'singer-songwriter', 'bubblegum pop', 'adult standards']",1971,98
"['acid rock', 'psychedelic rock', 'hard rock', 'rock', 'album rock', 'classic rock']",1971,99
"['easy listening', 'adult standards']",1971,100
"['soul', 'vocal jazz', 'quiet storm', 'soft rock', 'adult standards', 'disco']",1972,1
"['soft rock', 'adult standards']",1972,2
"['heartland rock', 'folk rock', 'folk', 'soft rock', 'mellow gold', 'singer-songwriter', 'classic rock']",1972,3
"['singer-songwriter', 'folk rock', 'folk', 'classic rock']",1972,4
"['lounge', 'vocal jazz', 'adult standards']",1972,5
"['northern soul', 'southern soul']",1972,6
"['soul', 'funk', 'quiet storm']",1972,7
"['country rock', 'classic country pop']",1972,8
"['persian pop', 'folk']",1972,9
"['easy listening', 'lounge', 'adult standards']",1972,10
"['soul', 'funk', 'soul blues', 'classic soul', 'southern soul', 'memphis soul']",1972,11
['sunshine pop'],1972,12
"['soul', 'funk', 'classic soul', 'southern soul', 'quiet storm', 'chicago soul', 'disco']",1972,13
['bubblegum pop'],1972,14
"['rock-and-roll', 'soul', 'blues rock', 'rock', 'rockabilly', 'blues', 'classic rock']",1972,15
"['southern soul', 'memphis soul']",1972,16
"['roots rock', 'rock', 'canadian singer-songwriter', 'mellow gold', 'classic canadian rock', 'singer-songwriter', 'permanent wave', 'classic rock']",1972,17
"['soul', 'funk', 'motown', 'philly soul', 'classic soul', 'quiet storm', 'disco']",1972,18
"['soul', 'classic soul', 'southern soul', 'memphis soul', 'chicago soul']",1972,19
"['soul', 'r&b']",1972,20
[],1972,21
"['soul', 'psychedelic soul', 'rock keyboard']",1972,22
"['motown', 'funk', 'soul', 'classic soul']",1972,23
"['folk rock', 'british invasion', 'merseybeat', 'album rock', 'soft rock', 'mellow gold', 'classic rock']",1972,24
['nederpop'],1972,25
"['heartland rock', 'folk rock', 'yacht rock', 'soft rock', 'mellow gold', 'singer-songwriter', 'brill building pop', 'adult standards']",1972,26
"['heartland rock', 'folk rock', 'beatlesque', 'album rock', 'soft rock', 'mellow gold', 'classic rock']",1972,27
"['early synthpop', 'moog']",1972,28
"['soul', 'funk', 'post-disco', 'motown', 'classic soul', 'southern soul', 'quiet storm', 'disco']",1972,29
['bubblegum pop'],1972,30
"['motown', 'sunshine pop', 'folk rock', 'soft rock', 'mellow gold', 'singer-songwriter', 'bubblegum pop', 'adult standards']",1972,31
"['heartland rock', 'art rock', 'symphonic rock', 'country rock', 'hard rock', 'rock', 'folk rock', 'british invasion', 'progressive rock', 'album rock', 'soft rock', 'mellow gold', 'flute rock', 'singer-songwriter', 'classic rock']",1972,32
"['beatlesque', 'jangle pop', 'power pop']",1972,33
['classic soul'],1972,34
"['soul', 'funk', 'philly soul', 'classic soul', 'quiet storm', 'disco']",1972,35
"['bubblegum pop', 'adult standards']",1972,36
['country rock'],1972,37
"['chicago soul', 'memphis soul']",1972,38
"['british blues', 'power pop', 'country rock', 'jangle pop', 'folk rock', 'beatlesque', 'album rock', 'soft rock', 'mellow gold', 'singer-songwriter', 'classic rock']",1972,39
"['glam rock', 'rock', 'piano rock', 'mellow gold']",1972,40
"['soul', 'r&b']",1972,41
['classic uk pop'],1972,42
[],1972,43
"['folk rock', 'folk', 'british folk', 'mellow gold', 'singer-songwriter', 'classic rock']",1972,44
"['country rock', 'singer-songwriter', 'folk rock', 'folk']",1972,45
"['doo-wop', 'rock-and-roll', 'rockabilly', 'adult standards']",1972,46
[],1972,47
"['rock-and-roll', 'rockabilly']",1972,48
"['soul', 'southern soul', 'quiet storm', 'classic soul']",1972,49
"['british blues', 'country rock', 'progressive rock', 'symphonic rock', 'southern rock']",1972,50
['latin funk'],1972,51
"['singer-songwriter', 'soft rock', 'folk rock', 'mellow gold']",1972,52
"['soul', 'funk', 'motown', 'classic soul', 'southern soul', 'quiet storm', 'memphis soul', 'disco']",1972,53
"['soul', 'funk', 'soul blues', 'classic soul', 'southern soul', 'memphis soul']",1972,54
['classic country pop'],1972,55
"['glam rock', 'rock', 'protopunk', 'classic rock']",1972,56
"['rock', 'folk rock', 'folk', 'soft rock', 'mellow gold', 'singer-songwriter', 'permanent wave', 'classic rock']",1972,57
"['soul', 'funk', 'vocal jazz', 'classic soul', 'southern soul', 'quiet storm', 'soft rock', 'adult standards', 'neo soul', 'chicago soul', 'disco']",1972,58
['karaoke'],1972,59
"['british blues', 'heartland rock', 'blues rock', 'electric blues', 'country rock', 'psychedelic rock', 'hard rock', 'rock', 'folk rock', 'album rock', 'mellow gold', 'singer-songwriter', 'classic rock']",1972,60
"['soul', 'vocal jazz', 'classic soul', 'southern soul', 'memphis soul', 'jazz blues']",1972,61
"['pop', 'dance pop']",1972,62
"['heartland rock', 'country rock', 'hard rock', 'folk rock', 'album rock', 'soft rock', 'mellow gold', 'classic rock']",1972,63
"['country rock', 'soft rock', 'mellow gold']",1972,64
['musica para ninos'],1972,65
"['singer-songwriter', 'folk rock', 'folk', 'classic rock']",1972,66
"['movie tunes', 'bubblegum pop']",1972,67
"['heartland rock', 'country rock', 'folk rock', 'folk', 'soft rock', 'mellow gold', 'singer-songwriter', 'classic rock']",1972,68
['country rock'],1972,69
"['rock-and-roll', 'folk rock', 'folk', 'rockabilly', 'soft rock', 'mellow gold', 'singer-songwriter', 'bubblegum pop', 'adult standards']",1972,70
[],1972,71
"['heartland rock', 'folk rock', 'folk', 'soft rock', 'mellow gold', 'singer-songwriter', 'classic rock']",1972,72
"['heartland rock', 'country rock', 'hard rock', 'folk rock', 'album rock', 'soft rock', 'mellow gold', 'classic rock']",1972,73
"['country', 'classic country pop', 'country rock', 'nashville sound']",1972,74
"['protopunk', 'glam metal', 'detroit rock', 'glam rock', 'hard rock', 'rock', 'metal', 'album rock', 'classic rock']",1972,75
"['rock', 'yacht rock', 'album rock', 'soft rock', 'mellow gold', 'classic rock']",1972,76
"['philly soul', 'southern soul']",1972,77
"['soul', 'funk', 'quiet storm']",1972,78
"['p funk', 'soul', 'funk', 'funk rock', 'psychedelic soul', 'classic soul', 'southern soul']",1972,79
['rare groove'],1972,80
"['native american contemporary', 'native american']",1972,81
"['soul', 'funk', 'chicago soul', 'classic soul']",1972,82
"['philly soul', 'southern soul']",1972,83
"['soul', 'motown', 'philly soul', 'classic soul', 'chicago soul']",1972,84
"['heartland rock', 'country rock', 'folk rock', 'folk', 'soft rock', 'mellow gold', 'singer-songwriter', 'classic rock']",1972,85
[],1972,86
"['doo-wop', 'rock-and-roll', 'easy listening', 'rockabilly', 'adult standards', 'bubblegum pop']",1972,87
"['power pop', 'country rock', 'philly soul', 'zolo', 'folk rock', 'soft rock', 'mellow gold', 'singer-songwriter', 'art rock']",1972,88
[],1972,89
[],1972,90
"['art rock', 'hard rock', 'rock', 'progressive rock', 'album rock', 'soft rock', 'symphonic rock', 'classic rock']",1972,91
"['heartland rock', 'country rock', 'folk rock', 'folk', 'piano rock', 'album rock', 'soft rock', 'mellow gold', 'singer-songwriter', 'classic rock']",1972,92
"['rock-and-roll', 'merseybeat', 'bubblegum pop', 'classic uk pop']",1972,93
"['heartland rock', 'folk rock', 'folk', 'soft rock', 'mellow gold', 'singer-songwriter', 'classic rock']",1972,94
['rhythm and blues'],1972,95
"['heartland rock', 'new wave pop', 'glam metal', 'hard rock', 'yacht rock', 'australian rock', 'album rock', 'soft rock', 'mellow gold', 'new romantic', 'classic rock']",1972,96
['karaoke'],1972,97
"['motown', 'post-disco', 'classic soul', 'disco']",1972,98
"['soul', 'funk']",1972,99
"['soul', 'funk', 'motown', 'classic soul', 'quiet storm']",1972,100
['karaoke'],1973,1
"['heartland rock', 'country rock', 'folk rock', 'folk', 'soft rock', 'mellow gold', 'singer-songwriter', 'classic rock']",1973,2
"['soul', 'vocal jazz', 'quiet storm', 'soft rock', 'adult standards', 'disco']",1973,3
"['soul', 'motown', 'classic soul', 'quiet storm', 'northern soul', 'neo soul']",1973,4
"['heartland rock', 'rock', 'folk rock', 'beatlesque', 'album rock', 'soft rock', 'mellow gold', 'singer-songwriter', 'classic rock']",1973,5
"['country', 'contemporary country', 'classic oklahoma country', 'alternative country', 'outlaw country', 'country rock', 'country road', 'classic texas country', 'melancholia', 'country pop', 'bluegrass', 'new americana', 'classic country pop', 'nashville sound', 'lilith', 'singer-songwriter', 'country dawn', 'red dirt', 'progressive bluegrass', 'black americana', 'folk']",1973,6
"['glam rock', 'rock', 'piano rock', 'mellow gold']",1973,7
"['soul', 'psychedelic soul', 'rock keyboard']",1973,8
"['heartland rock', 'folk rock', 'folk', 'soft rock', 'mellow gold', 'singer-songwriter', 'classic rock']",1973,9
"['soul', 'motown', 'quiet storm', 'soft rock', 'adult standards', 'disco']",1973,10
['bubblegum pop'],1973,11
[],1973,12
[],1973,13
"['mellow gold', 'bubblegum pop', 'soft rock', 'adult standards']",1973,14
"['soul', 'motown', 'philly soul', 'classic soul', 'quiet storm', 'disco']",1973,15
"['british blues', 'heartland rock', 'blues rock', 'electric blues', 'country rock', 'hard rock', 'folk rock', 'album rock', 'soft rock', 'mellow gold', 'classic rock']",1973,16
['northern soul'],1973,17
"['glam rock', 'hard rock', 'album rock']",1973,18
"['motown', 'soul']",1973,19
"['pop', 'dance pop']",1973,20
"['soul', 'funk', 'motown', 'classic soul', 'quiet storm']",1973,21
[],1973,22
"['heartland rock', 'blues rock', 'country rock', 'hard rock', 'rock', 'album rock', 'soft rock', 'mellow gold', 'singer-songwriter', 'classic rock']",1973,23
"['soul', 'funk', 'roots rock', 'traditional blues', 'new orleans blues', 'modern blues', 'acoustic blues', 'blues', 'piano blues', 'louisiana blues', 'jazz blues']",1973,24
['italian metal'],1973,25
"['motown', 'soul']",1973,26
"['rock', 'folk rock', 'folk', 'soft rock', 'mellow gold', 'singer-songwriter', 'permanent wave', 'classic rock']",1973,27
['bubblegum pop'],1973,28
"['folk rock', 'folk', 'classic country pop', 'soft rock', 'mellow gold', 'singer-songwriter']",1973,29
['folk rock'],1973,30
"['heartland rock', 'country rock', 'hard rock', 'folk rock', 'album rock', 'soft rock', 'mellow gold', 'classic rock']",1973,31
"['soul', 'funk', 'philly soul', 'classic soul', 'quiet storm', 'disco']",1973,32
"['soul', 'quiet storm', 'disco']",1973,33
"['classic country pop', 'soft rock', 'mellow gold', 'bubblegum pop', 'adult standards']",1973,34
"['p funk', 'soul', 'funk', 'motown', 'classic soul', 'quiet storm', 'disco']",1973,35
"['canadian country', 'canadian pop', 'classic country pop', 'soft rock', 'mellow gold', 'adult standards']",1973,36
['soft rock'],1973,37
"['novelty', 'halloween']",1973,38
"['p funk', 'soul', 'funk', 'post-disco', 'motown', 'classic soul', 'southern soul', 'quiet storm', 'disco']",1973,39
"['folk rock', 'yacht rock', 'album rock', 'soft rock', 'mellow gold', 'singer-songwriter', 'classic rock']",1973,40
"['heartland rock', 'country rock', 'hard rock', 'rock', 'folk rock', 'yacht rock', 'album rock', 'soft rock', 'mellow gold', 'singer-songwriter', 'classic rock']",1973,41
"['rock', 'folk rock', 'beatlesque', 'album rock', 'soft rock', 'mellow gold', 'singer-songwriter', 'classic rock']",1973,42
"['p funk', 'soul', 'funk', 'funk rock', 'psychedelic soul', 'classic soul', 'southern soul']",1973,43
"['quiet storm', 'disco']",1973,44
"['soul', 'funk', 'motown', 'classic soul', 'quiet storm', 'disco']",1973,45
[],1973,46
"['soul', 'funk', 'motown', 'philly soul', 'classic soul', 'quiet storm', 'disco']",1973,47
"['glam rock', 'rock', 'piano rock', 'mellow gold']",1973,48
"['soul', 'funk', 'motown', 'classic soul', 'quiet storm', 'disco']",1973,49
"['rock', 'hard rock', 'metal', 'album rock', 'classic rock']",1973,50
"['country rock', 'soft rock', 'mellow gold']",1973,51
"['country', 'arkansas country', 'nashville sound']",1973,52
"['heartland rock', 'country rock', 'folk rock', 'folk', 'soft rock', 'mellow gold', 'classic rock']",1973,53
"['rock', 'yacht rock', 'album rock', 'soft rock', 'mellow gold', 'classic rock']",1973,54
"['motown', 'funk', 'soul', 'classic soul']",1973,55
"['heartland rock', 'rock', 'folk rock', 'beatlesque', 'album rock', 'soft rock', 'mellow gold', 'singer-songwriter', 'classic rock']",1973,56
['classic uk pop'],1973,57
"['southern soul', 'soul blues', 'memphis soul']",1973,58
['barbershop'],1973,59
['karaoke'],1973,60
['banjo'],1973,61
"['motown', 'soul']",1973,62
"['soul', 'funk', 'soul blues', 'classic soul', 'southern soul', 'memphis soul']",1973,63
[],1973,64
"['soul', 'funk', 'chicago soul', 'classic soul']",1973,65
['classic canadian rock'],1973,66
"['soft rock', 'adult standards']",1973,67
"['country rock', 'rock', 'folk rock', 'yacht rock', 'album rock', 'soft rock', 'mellow gold', 'classic rock']",1973,68
"['symphonic rock', 'dutch prog', 'nederpop', 'progressive rock', 'flute rock']",1973,69
['surf music'],1973,70
"['new wave pop', 'soft rock', 'adult standards']",1973,71
"['soft rock', 'adult standards']",1973,72
"['country rock', 'rock', 'folk rock', 'yacht rock', 'album rock', 'soft rock', 'mellow gold', 'classic rock']",1973,73
"['rock', 'folk rock', 'folk', 'soft rock', 'mellow gold', 'singer-songwriter', 'permanent wave', 'classic rock']",1973,74
['classic soul'],1973,75
"['new wave pop', 'soft rock', 'adult standards']",1973,76
"['funk', 'jazz funk']",1973,77
['bubblegum pop'],1973,78
[],1973,79
"['motown', 'soul', 'memphis soul']",1973,80
"['mellow gold', 'bubblegum pop', 'soft rock', 'adult standards']",1973,81
"['soul', 'funk', 'motown', 'philly soul', 'classic soul', 'quiet storm', 'disco']",1973,82
['classic country pop'],1973,83
"['p funk', 'soul', 'funk', 'classic soul', 'quiet storm', 'disco']",1973,84
"['rock', 'classic rock', 'album rock', 'british invasion']",1973,85
"['stomp and holler', 'modern rock', 'seattle indie', 'folk', 'indie rock', 'chamber pop', 'indietronica', 'singer-songwriter']",1973,86
['soft rock'],1973,87
"['soul', 'funk', 'motown', 'philly soul', 'classic soul', 'quiet storm', 'disco']",1973,88
[],1973,89
"['brazilian jazz', 'bossa nova jazz', 'jazz funk']",1973,90
[],1973,91
"['art rock', 'psychedelic rock', 'rock', 'progressive rock', 'album rock', 'symphonic rock', 'classic rock']",1973,92
"['motown', 'funk', 'soul', 'classic soul']",1973,93
"['motown', 'funk', 'soul', 'classic soul']",1973,94
"['new wave pop', 'girl group', 'motown', 'hi-nrg', 'soft rock', 'disco']",1973,95
"['british blues', 'heartland rock', 'blues rock', 'electric blues', 'country rock', 'hard rock', 'folk rock', 'album rock', 'soft rock', 'mellow gold', 'classic rock']",1973,96
"['art rock', 'glam rock', 'rock', 'permanent wave', 'classic rock']",1973,97
"['rock of gibraltar', 'classic uk pop']",1973,98
"['movie tunes', 'bubblegum pop']",1973,99
"['motown', 'soul', 'memphis soul']",1973,100
"['operatic pop', 'adult standards']",1974,1
['classic uk pop'],1974,2
"['post-disco', 'classic soul', 'disco']",1974,3
"['native american contemporary', 'native american']",1974,4
"['motown', 'soul']",1974,5
"['heartland rock', 'blues rock', 'country rock', 'hard rock', 'rock', 'album rock', 'soft rock', 'mellow gold', 'singer-songwriter', 'classic rock']",1974,6
"['post-disco', 'philly soul', 'motown', 'classic soul', 'instrumental soul', 'jazz funk', 'classic girl group', 'disco']",1974,7
"['novelty', 'classic country pop']",1974,8
"['glam rock', 'rock', 'piano rock', 'mellow gold']",1974,9
"['country rock', 'classic country pop']",1974,10
"['soul', 'vocal jazz', 'classic soul', 'southern soul', 'memphis soul', 'jazz blues']",1974,11
"['motown', 'funk', 'soul', 'disco']",1974,12
[],1974,13
"['soul', 'funk', 'motown', 'philly soul', 'classic soul', 'quiet storm', 'disco']",1974,14
['northern soul'],1974,15
"['classic country pop', 'bubblegum pop']",1974,16
['glam rock'],1974,17
"['folk rock', 'folk', 'classic country pop', 'soft rock', 'mellow gold', 'singer-songwriter']",1974,18
"['soul', 'funk', 'motown', 'philly soul', 'classic soul', 'southern soul', 'quiet storm']",1974,19
['classic swedish pop'],1974,20
['bubblegum pop'],1974,21
"['heartland rock', 'rock', 'folk rock', 'beatlesque', 'album rock', 'soft rock', 'mellow gold', 'singer-songwriter', 'classic rock']",1974,22
"['country', 'arkansas country', 'nashville sound']",1974,23
"['heartland rock', 'country rock', 'folk rock', 'folk', 'soft rock', 'mellow gold', 'singer-songwriter', 'classic rock']",1974,24
"['folk rock', 'folk', 'classic country pop', 'soft rock', 'mellow gold', 'singer-songwriter']",1974,25
"['australian dance', 'soft rock', 'mellow gold', 'adult standards', 'disco']",1974,26
"['canadian country', 'heartland rock', 'country rock', 'canadian singer-songwriter', 'folk', 'folk rock', 'soft rock', 'mellow gold', 'singer-songwriter', 'classic rock']",1974,27
"['easy listening', 'canadian pop', 'adult standards']",1974,28
"['bubblegum pop', 'classic uk pop']",1974,29
"['p funk', 'soul', 'funk', 'motown', 'classic soul', 'quiet storm', 'disco']",1974,30
"['beatlesque', 'rock drums', 'classic rock']",1974,31
"['australian dance', 'soft rock', 'mellow gold', 'adult standards', 'disco']",1974,32
"['pop', 'dance pop']",1974,33
"['soul', 'funk', 'motown', 'classic soul', 'quiet storm', 'disco']",1974,34
"['soul', 'vocal jazz', 'quiet storm', 'soft rock', 'adult standards', 'disco']",1974,35
"['soul', 'funk', 'post-disco', 'motown', 'classic soul', 'southern soul', 'quiet storm', 'disco']",1974,36
"['soul', 'psychedelic soul', 'rock keyboard']",1974,37
['disco'],1974,38
[],1974,39
"['heartland rock', 'hard rock', 'rock', 'album rock', 'soft rock', 'mellow gold', 'singer-songwriter', 'classic rock']",1974,40
"['soul', 'funk', 'motown', 'classic soul', 'quiet storm', 'disco']",1974,41
"['heartland rock', 'country rock', 'hard rock', 'folk rock', 'album rock', 'soft rock', 'mellow gold', 'classic rock']",1974,42
[],1974,43
"['country rock', 'michigan indie', 'southern rock']",1974,44
"['motown', 'soul']",1974,45
"['soul', 'funk', 'vocal jazz', 'motown', 'philly soul', 'classic soul', 'quiet storm', 'soft rock', 'adult standards', 'brill building pop', 'disco']",1974,46
"['bubblegum pop', 'classic uk pop']",1974,47
"['broadway', 'classic soundtrack']",1974,48
"['swedish pop', 'europop']",1974,49
"['folk rock', 'british invasion', 'merseybeat', 'album rock', 'soft rock', 'mellow gold', 'classic rock']",1974,50
"['country rock', 'rock', 'folk rock', 'yacht rock', 'album rock', 'soft rock', 'mellow gold', 'classic rock']",1974,51
['karaoke'],1974,52
['karaoke'],1974,53
"['canadian country', 'canadian pop', 'classic country pop', 'soft rock', 'mellow gold', 'adult standards']",1974,54
"['soul', 'quiet storm', 'disco']",1974,55
"['soul', 'funk', 'quiet storm', 'neo soul', 'disco']",1974,56
"['mellow gold', 'bubblegum pop', 'soft rock', 'adult standards']",1974,57
"['rock-and-roll', 'folk rock', 'rockabilly', 'adult standards', 'brill building pop']",1974,58
"['motown', 'funk', 'soul', 'disco']",1974,59
"['philly soul', 'classic soul']",1974,60
['classic soul'],1974,61
"['cancion melodica', 'pop romantico', 'ranchera']",1974,62
"['country rock', 'hard rock', 'rock', 'folk rock', 'album rock', 'soft rock', 'mellow gold', 'classic canadian rock', 'singer-songwriter', 'classic rock']",1974,63
"['nederpop', 'dutch rock', 'dutch prog', 'album rock']",1974,64
['yacht rock'],1974,65
"['country rock', 'southern rock']",1974,66
"['soul', 'funk', 'classic soul', 'southern soul', 'quiet storm']",1974,67
"['soul', 'funk', 'philly soul', 'classic soul', 'quiet storm', 'disco']",1974,68
"['soul', 'funk', 'motown', 'classic soul', 'quiet storm', 'disco']",1974,69
"['folk rock', 'folk', 'british folk', 'mellow gold', 'singer-songwriter', 'classic rock']",1974,70
"['mellow gold', 'bubblegum pop', 'soft rock', 'adult standards']",1974,71
"['glam rock', 'rock', 'piano rock', 'mellow gold']",1974,72
"['rock', 'yacht rock', 'album rock', 'soft rock', 'mellow gold', 'classic rock']",1974,73
"['beatlesque', 'rock drums', 'classic rock']",1974,74
"['soul', 'funk', 'philly soul', 'classic soul', 'quiet storm', 'disco']",1974,75
"['blues rock', 'electric blues', 'rock', 'album rock', 'soft rock', 'mellow gold', 'singer-songwriter', 'classic rock']",1974,76
"['heartland rock', 'rock', 'folk rock', 'beatlesque', 'album rock', 'soft rock', 'mellow gold', 'singer-songwriter', 'classic rock']",1974,77
"['glam rock', 'rock', 'piano rock', 'mellow gold']",1974,78
"['progressive rock', 'symphonic rock']",1974,79
"['canadian country', 'canadian pop', 'classic country pop', 'soft rock', 'mellow gold', 'adult standards']",1974,80
"['bubblegum pop', 'adult standards']",1974,81
"['power pop', 'country rock', 'philly soul', 'zolo', 'folk rock', 'soft rock', 'mellow gold', 'singer-songwriter', 'art rock']",1974,82
"['classic country pop', 'outlaw country']",1974,83
"['heartland rock', 'country rock', 'hard rock', 'rock', 'folk rock', 'album rock', 'soft rock', 'mellow gold', 'classic canadian rock', 'singer-songwriter', 'classic rock']",1974,84
[],1974,85
[],1974,86
"['southern soul', 'classic soul']",1974,87
"['motown', 'soul']",1974,88
"['country', 'arkansas country', 'nashville sound']",1974,89
"['classic country pop', 'bubblegum pop']",1974,90
"['heartland rock', 'rock', 'folk rock', 'beatlesque', 'album rock', 'soft rock', 'mellow gold', 'singer-songwriter', 'classic rock']",1974,91
"['soul', 'motown', 'classic soul', 'quiet storm', 'soft rock', 'adult standards', 'northern soul', 'neo soul', 'disco']",1974,92
"['classic country pop', 'bubblegum pop']",1974,93
[],1974,94
"['motown', 'funk', 'soul', 'classic soul']",1974,95
"['soul', 'funk', 'motown', 'philly soul', 'classic soul', 'quiet storm', 'disco']",1974,96
"['australian dance', 'soft rock', 'mellow gold', 'adult standards', 'disco']",1974,97
"['rock', 'yacht rock', 'album rock', 'soft rock', 'mellow gold', 'classic rock']",1974,98
[],1974,99
"['soul', 'funk', 'motown', 'philly soul', 'classic soul', 'quiet storm', 'disco']",1974,100
"['soft rock', 'yacht rock', 'mellow gold']",1975,1
"['arkansas country', 'folk rock', 'classic country pop', 'nashville sound', 'soft rock', 'mellow gold', 'singer-songwriter', 'adult standards']",1975,2
"['glam rock', 'rock', 'piano rock', 'mellow gold']",1975,3
"['new mexico music', 'classic country pop', 'swamp pop']",1975,4
"['rock-and-roll', 'lounge', 'bubblegum pop', 'adult standards']",1975,5
"['heartland rock', 'blues rock', 'country rock', 'hard rock', 'rock', 'album rock', 'soft rock', 'mellow gold', 'singer-songwriter', 'classic rock']",1975,6
"['jazz funk', 'funk', 'soul', 'disco']",1975,7
"['art rock', 'glam rock', 'rock', 'permanent wave', 'classic rock']",1975,8
"['easy listening', 'rockabilly', 'soft rock', 'adult standards', 'brill building pop', 'bubblegum pop']",1975,9
"['heartland rock', 'rock', 'yacht rock', 'album rock', 'soft rock', 'mellow gold', 'classic rock']",1975,10
"['folk rock', 'folk', 'classic country pop', 'soft rock', 'mellow gold', 'singer-songwriter']",1975,11
"['soft rock', 'disco']",1975,12
"['heartland rock', 'rock', 'yacht rock', 'album rock', 'soft rock', 'mellow gold', 'classic rock']",1975,13
"['soul', 'funk', 'motown', 'classic soul', 'quiet storm', 'disco']",1975,14
[],1975,15
